# frequency  DOS
#THz  number
-2.20484e-06 0.00212109
0.485211 0.00596556
0.970425 0.00729124
1.45564 0.00795409
1.94085 0.0091472
2.42607 0.0095449
2.91128 0.0106054
3.39649 0.0111357
3.88171 0.0112683
4.36692 0.0114009
4.85213 0.011666
5.33735 0.0115334
5.82256 0.012594
6.30778 0.012594
6.79299 0.0128591
7.2782 0.0129917
7.76342 0.0133894
8.24863 0.0141848
8.73384 0.0145825
9.21906 0.015643
9.70427 0.0163059
10.1895 0.0173664
10.6747 0.0171013
11.1599 0.0169687
11.6451 0.016571
12.1303 0.016571
12.6156 0.0164384
13.1008 0.0167036
13.586 0.0161733
14.0712 0.0157756
14.5564 0.0152453
15.0416 0.015643
15.5268 0.0160407
16.012 0.0160407
16.4973 0.0163059
16.9825 0.0178967
17.4677 0.018427
17.9529 0.0188247
18.4381 0.0194875
18.9233 0.0198852
19.4085 0.0197526
19.8938 0.0200178
20.379 0.0192224
20.8642 0.0190898
21.3494 0.0189572
21.8346 0.0190898
22.3198 0.0193549
22.805 0.0193549
23.2903 0.0197526
23.7755 0.0200178
24.2607 0.0197526
24.7459 0.0198852
25.2311 0.0200178
25.7163 0.0201503
26.2015 0.0204155
26.6868 0.0204155
27.172 0.0206806
27.6572 0.0206806
28.1424 0.0205481
28.6276 0.0206806
29.1128 0.0209458
29.598 0.0204155
30.0832 0.0201503
30.5685 0.0197526
31.0537 0.0198852
31.5389 0.0196201
32.0241 0.0197526
32.5093 0.0198852
32.9945 0.0218737
33.4797 0.0231994
33.965 0.0239948
34.4502 0.0245251
34.9354 0.0246577
35.4206 0.0251879
35.9058 0.0250554
36.391 0.0247902
36.8762 0.0245251
37.3615 0.0239948
37.8467 0.0239948
38.3319 0.0228017
38.8171 0.0229343
39.3023 0.0220063
39.7875 0.021476
40.2727 0.0208132
40.7579 0.0206806
41.2432 0.0196201
41.7284 0.0188247
42.2136 0.018427
42.6988 0.0176316
43.184 0.0169687
43.6692 0.0167036
44.1544 0.015643
44.6397 0.0151128
45.1249 0.0147151
45.6101 0.0141848
46.0953 0.0135219
46.5805 0.0136545
47.0657 0.0127265
47.5509 0.0123288
48.0362 0.0117986
48.5214 0.0112683
49.0066 0.0108706
49.4918 0.0103403
49.977 0.00981004
50.4622 0.00927977
50.9474 0.0091472
51.4326 0.00835179
51.9179 0.00848436
52.4031 0.00755638
52.8883 0.00729124
53.3735 0.00702611
53.8587 0.00649584
54.3439 0.00636327
54.8291 0.00596556
55.3144 0.00596556
55.7996 0.00570043
56.2848 0.00517016
56.77 0.00543529
57.2552 0.00517016
57.7404 0.00530272
58.2256 0.00490502
58.7109 0.00517016
59.1961 0.00517016
59.6813 0.00503759
60.1665 0.00490502
60.6517 0.00530272
61.1369 0.00490502
61.6221 0.00477245
62.1074 0.00463988
62.5926 0.00463988
63.0778 0.00477245
63.563 0.00477245
64.0482 0.00450731
64.5334 0.00424218
65.0186 0.00424218
65.5038 0.00437475
65.9891 0.00384447
66.4743 0.00410961
66.9595 0.00410961
67.4447 0.00371191
67.9299 0.00371191
68.4151 0.00318163
68.9003 0.0033142
69.3856 0.00318163
69.8708 0.00278393
70.356 0.00265136
70.8412 0.00265136
71.3264 0.00251879
71.8116 0.00238623
72.2968 0.00238623
72.7821 0.00225366
73.2673 0.00212109
73.7525 0.00212109
74.2377 0.00185595
74.7229 0.00185595
75.2081 0.00159082
75.6933 0.00159082
76.1785 0.00159082
76.6638 0.00132568
77.149 0.00159082
77.6342 0.00132568
78.1194 0.00132568
78.6046 0.00106054
79.0898 0.00119311
79.575 0.00119311
80.0603 0.00132568
80.5455 0.000927977
81.0307 0.00119311
81.5159 0.00106054
82.0011 0.00066284
82.4863 0.000795409
82.9715 0.00106054
83.4568 0.000927977
83.942 0.000795409
84.4272 0.000927977
84.9124 0.000795409
85.3976 0.000795409
85.8828 0.000530272
86.368 0.000927977
86.8532 0.00066284
87.3385 0.000530272
87.8237 0.000530272
88.3089 0.000795409
88.7941 0.000530272
89.2793 0.000397704
89.7645 0.00066284
90.2497 0.000397704
90.735 0.000397704
91.2202 0.000397704
91.7054 0.000397704
92.1906 0.000132568
92.6758 0.000530272
93.161 0.000132568
93.6462 0.000265136
94.1315 0.000132568
94.6167 0.000265136
95.1019 0.000132568
95.5871 0.000265136
96.0723 0
96.5575 0.000132568
97.0427 0.000132568
