# frequency  DOS
#THz  number
-1.81878e-06 0.00256474
0.552243 0.00635079
1.10449 0.00720571
1.65673 0.00793849
2.20898 0.00891553
2.76122 0.00867127
3.31347 0.00964832
3.86571 0.00989258
4.41796 0.0103811
4.9702 0.0105032
5.52245 0.0107475
6.0747 0.0109918
6.62694 0.0124573
7.17919 0.0123352
7.73143 0.0133122
8.28368 0.0134344
8.83592 0.0141672
9.38817 0.0159991
9.94041 0.0169762
10.4927 0.0169762
11.0449 0.0167319
11.5971 0.0163655
12.1494 0.0166098
12.7016 0.015877
13.2539 0.0157548
13.8061 0.0153885
14.3584 0.0150221
14.9106 0.0150221
15.4629 0.0146557
16.0151 0.0148999
16.5674 0.0156327
17.1196 0.0169762
17.6718 0.0178311
18.2241 0.018686
18.7763 0.0199073
19.3286 0.0200294
19.8808 0.0200294
20.4331 0.0189302
20.9853 0.0188081
21.5376 0.0190524
22.0898 0.0191745
22.6421 0.0191745
23.1943 0.0191745
23.7465 0.0195409
24.2988 0.0195409
24.851 0.0197852
25.4033 0.019663
25.9555 0.0200294
26.5078 0.0201516
27.06 0.0205179
27.6123 0.0203958
28.1645 0.0207622
28.7167 0.0210065
29.269 0.0207622
29.8212 0.0208843
30.3735 0.0208843
30.9257 0.0211286
31.478 0.0208843
32.0302 0.0219835
32.5825 0.0228384
33.1347 0.0235712
33.687 0.0240597
34.2392 0.024304
34.7914 0.0250368
35.3437 0.025281
35.8959 0.0256474
36.4482 0.0255253
37.0004 0.025281
37.5527 0.0246704
38.1049 0.0239376
38.6572 0.0232048
39.2094 0.0229606
39.7617 0.0221056
40.3139 0.0210065
40.8661 0.0212507
41.4184 0.0197852
41.9706 0.0191745
42.5229 0.0184417
43.0751 0.0175868
43.6274 0.0170983
44.1796 0.0159991
44.7319 0.0155106
45.2841 0.0147778
45.8363 0.0144114
46.3886 0.0134344
46.9408 0.0133122
47.4931 0.0124573
48.0453 0.0118467
48.5976 0.0116024
49.1498 0.0103811
49.7021 0.0103811
50.2543 0.00989258
50.8066 0.0091598
51.3588 0.0087934
51.911 0.00830488
52.4633 0.00793849
53.0155 0.00744997
53.5678 0.00671718
54.12 0.00671718
54.6723 0.00622866
55.2245 0.00574014
55.7768 0.00586227
56.329 0.00525162
56.8813 0.00512949
57.4335 0.00500736
57.9857 0.00500736
58.538 0.0043967
59.0902 0.00451883
59.6425 0.00464096
60.1947 0.00378605
60.747 0.00415244
61.2992 0.00427457
61.8515 0.00415244
62.4037 0.00378605
62.956 0.00366392
63.5082 0.00341966
64.0604 0.00341966
64.6127 0.00341966
65.1649 0.00354179
65.7172 0.00329753
66.2694 0.00293113
66.8217 0.00293113
67.3739 0.00256474
67.9262 0.00268687
68.4784 0.00268687
69.0306 0.00244261
69.5829 0.00244261
70.1351 0.00232048
70.6874 0.00244261
71.2396 0.00207622
71.7919 0.00232048
72.3441 0.00183196
72.8964 0.00195409
73.4486 0.00219835
74.0009 0.00170983
74.5531 0.00170983
75.1053 0.00195409
75.6576 0.00183196
76.2098 0.00170983
76.7621 0.00170983
77.3143 0.00170983
77.8666 0.00146557
78.4188 0.0015877
78.9711 0.00134344
79.5233 0.00146557
80.0756 0.00146557
80.6278 0.00146557
81.18 0.00109918
81.7323 0.00146557
82.2845 0.00122131
82.8368 0.00122131
83.389 0.00122131
83.9413 0.00122131
84.4935 0.00109918
85.0458 0.00122131
85.598 0.00109918
86.1502 0.000854914
86.7025 0.00109918
87.2547 0.000854914
87.807 0.00109918
88.3592 0.000854914
88.9115 0.00109918
89.4637 0.000977045
90.016 0.000732784
90.5682 0.000854914
91.1205 0.000854914
91.6727 0.000732784
92.2249 0.000977045
92.7772 0.000732784
93.3294 0.000732784
93.8817 0.000732784
94.4339 0.000732784
94.9862 0.000488522
95.5384 0.000610653
96.0907 0.000732784
96.6429 0.000610653
97.1952 0.000488522
97.7474 0.000610653
98.2996 0.000366392
98.8519 0.000610653
99.4041 0.000488522
99.9564 0.000366392
100.509 0.000488522
101.061 0.000488522
101.613 0.000610653
102.165 0.000366392
102.718 0.000244261
103.27 0.000366392
103.822 0.000366392
104.374 0.000366392
104.927 0.000366392
105.479 0.000366392
106.031 0.000244261
106.583 0.000366392
107.136 0.000244261
107.688 0.000122131
108.24 0.000122131
108.792 0.000244261
109.345 0.000122131
109.897 0.000122131
110.449 0.000122131
