Xgen2g_56_210x70lammps.data (written by ASE)

6459	atoms
1	atom types
0.0	210	xlo xhi
0.0	70	ylo yhi
0.0	10	zlo zhi


Atoms

	1	1 91.4240304 8.78629797 5
	2	1 95.6032697 7.20422684 5
	3	1 96.1043837 8.52262637 5
	4	1 62.5857547 55.9052549 5
	5	1 143.588115 6.06774359 5
	6	1 155.893232 0.705838878 5
	7	1 96.5296786 6.18120014 5
	8	1 94.404465 6.98451369 5
	9	1 92.2906028 7.78165209 5
	10	1 93.5168228 7.99002236 5
	11	1 95.0482924 23.5301549 5
	12	1 93.9616573 24.464888 5
	13	1 92.9081675 20.6242288 5
	14	1 93.3119518 21.9137353 5
	15	1 94.5154085 22.1436834 5
	16	1 94.0052843 9.29356293 5
	17	1 95.1833281 9.50353974 5
	18	1 104.734465 5.66882748 5
	19	1 103.624894 5.14660187 5
	20	1 95.674493 10.8537162 5
	21	1 168.553789 21.0036632 5
	22	1 139.333305 18.3877871 5
	23	1 131.078904 15.0182542 5
	24	1 129.828605 13.7093216 5
	25	1 132.491542 17.1640338 5
	26	1 132.915713 18.8108428 5
	27	1 133.889082 19.1536191 5
	28	1 114.97202 6.06015727 5
	29	1 119.790806 3.16192992 5
	30	1 120.057334 5.46021687 5
	31	1 119.278784 4.63821949 5
	32	1 126.342683 10.6842546 5
	33	1 63.9244526 55.5288992 5
	34	1 175.731479 52.9904114 5
	35	1 149.129628 49.0119053 5
	36	1 148.73685 47.6929015 5
	37	1 149.934081 51.5380245 5
	38	1 154.418354 68.9704633 5
	39	1 139.383349 0.609649164 5
	40	1 138.729516 2.62865516 5
	41	1 138.601386 1.38107294 5
	42	1 136.832613 14.3823051 5
	43	1 141.511954 16.8815807 5
	44	1 141.354252 10.2092668 5
	45	1 156.061875 1.88819301 5
	46	1 156.964436 9.83946055 5
	47	1 143.451026 4.76739126 5
	48	1 154.597206 0.161048288 5
	49	1 153.545299 1.06510154 5
	50	1 152.288907 0.533433281 5
	51	1 147.51191 0.152044294 5
	52	1 147.743756 1.47651902 5
	53	1 68.3197546 4.40625157 5
	54	1 67.4188992 3.9302343 5
	55	1 97.7841411 6.47889678 5
	56	1 110.292334 4.05918164 5
	57	1 110.05876 2.66126551 5
	58	1 69.5823284 3.58607337 5
	59	1 129.026977 27.0568122 5
	60	1 131.087826 25.5536024 5
	61	1 130.851087 26.9544243 5
	62	1 132.083012 25.0333894 5
	63	1 90.7505748 30.7515814 5
	64	1 92.3206567 29.7416051 5
	65	1 93.3359981 30.5397528 5
	66	1 124.37571 33.2277177 5
	67	1 131.506875 32.1548934 5
	68	1 146.485798 51.860547 5
	69	1 148.275996 49.9232125 5
	70	1 148.662016 51.2550605 5
	71	1 147.777752 52.1610383 5
